timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281938.929421,651646.1699999993,-28,80,1007,178,20280
1784281939.1787364,651646.1699999993,-28,80,1007,178,20280
1784281939.3845704,651646.1699999993,-28,80,1007,178,20280
1784281939.5975223,651646.1699999993,-28,80,1007,178,20280
1784281939.830283,651646.1699999993,-28,80,1007,178,20280
1784281940.0584645,651646.1699999993,-28,80,1007,178,20280
1784281940.3338978,651646.1699999993,-28,80,1007,178,20280
1784281940.5736144,651646.1699999993,-28,80,1007,178,20280
1784281940.8063917,651670.1699999993,-28,54,1008,178,20306
1784281941.0164232,651670.1699999993,-28,54,1008,178,20306
1784281941.2172732,651670.1699999993,-28,54,1008,178,20306
1784281941.4181013,651670.1699999993,-28,54,1008,178,20306
1784281941.6192765,651670.1699999993,-28,54,1008,178,20306
1784281941.8219156,651670.1699999993,-28,54,1008,178,20306
1784281942.130025,651656.7699999994,-28,54,1008,178,20306
1784281942.3602736,651656.7699999994,-28,54,1008,178,20306
1784281942.5710256,651656.7699999994,-28,54,1008,178,20306
1784281942.8384237,651667.5699999994,-28,54,1008,178,20306
1784281943.0753257,651659.1699999995,-43,54,1009,178,20321
1784281943.4028308,651675.1699999995,-43,80,1011,179,20347
1784281943.6035151,651675.1699999995,-43,80,1011,179,20347
1784281943.8043325,651675.1699999995,-43,80,1011,179,20347
1784281944.0118535,651675.1699999995,-43,80,1011,179,20347
1784281944.2427146,651675.1699999995,-43,80,1011,179,20347
1784281944.4434805,651671.4699999994,-43,80,1011,179,20347
1784281944.6524138,651671.4699999994,-43,80,1011,179,20347
1784281944.8719244,651679.4699999994,-43,50,1012,179,20377
1784281945.18944,651674.4699999994,-43,50,1012,179,20377
1784281945.4077246,651674.4699999994,-43,50,1012,179,20377
1784281945.6085222,651674.4699999994,-43,50,1012,179,20377
1784281945.8447802,651674.4699999994,-43,50,1012,179,20377
1784281946.0519462,651674.4699999994,-43,50,1012,179,20377
1784281946.2710843,651674.4699999994,-43,50,1012,179,20377
1784281946.494433,651674.4699999994,-43,50,1012,179,20377
1784281946.7208323,651674.4699999994,-43,50,1012,179,20377
1784281946.9341803,651678.7699999994,-43,50,1012,179,20377
1784281947.1525705,651678.7699999994,-43,50,1012,179,20377
1784281947.3689137,651658.7699999994,-43,50,1012,179,20377
1784281947.580112,651658.7699999994,-43,50,1012,179,20377
1784281947.7873342,651658.7699999994,-43,50,1012,179,20377
1784281947.9999387,651658.7699999994,-43,50,1012,179,20377
1784281948.2315032,651658.7699999994,-43,50,1012,179,20377
1784281948.4704041,651683.7699999994,-43,50,1012,179,20377
1784281948.6772482,651683.7699999994,-43,50,1012,179,20377
1784281948.8988383,651683.7699999994,-43,50,1012,179,20377
1784281949.0992255,651688.7699999994,-43,50,1012,179,20377
1784281949.3157501,651684.4699999994,-43,50,1012,179,20377
1784281949.5283105,651684.4699999994,-43,50,1012,179,20377
1784281949.7504005,651684.4699999994,-43,50,1012,179,20377
1784281949.9840856,651684.4699999994,-43,50,1012,179,20377
1784281950.2049243,651684.4699999994,-43,50,1012,179,20377
1784281950.4057395,651684.4699999994,-43,50,1012,179,20377
1784281950.6556637,651684.4699999994,-43,50,1012,179,20377
1784281950.8785806,651684.4699999994,-43,50,1012,179,20377
1784281951.1227574,651684.4699999994,-43,50,1012,179,20377
1784281951.3367355,651686.4699999994,-43,20,1013,179,20407
1784281951.5689967,651686.4699999994,-43,20,1013,179,20407
1784281951.7954092,651686.4699999994,-43,20,1013,179,20407
1784281952.0229814,651686.4699999994,-43,20,1013,179,20407
1784281952.2386532,651686.4699999994,-43,20,1013,179,20407
1784281952.4629555,651686.4699999994,-43,20,1013,179,20407
1784281952.7002647,651686.4699999994,-43,20,1013,179,20407
1784281952.9357135,651686.4699999994,-43,20,1013,179,20407
1784281953.1538117,651686.4699999994,-43,20,1013,179,20407
1784281953.3658197,651682.4699999994,-43,20,1013,179,20407
1784281953.624871,651682.4699999994,-43,20,1013,179,20407
1784281953.8639634,651682.4699999994,-43,20,1013,179,20407
1784281954.0759475,651682.4699999994,-43,20,1013,179,20407
1784281954.3023298,651682.4699999994,-43,20,1013,179,20407
1784281954.5168188,651682.4699999994,-43,20,1013,179,20407
1784281954.74604,651682.4699999994,-43,20,1013,179,20407
1784281954.980534,651678.1699999995,-43,20,1013,179,20407
1784281955.2345173,651667.8699999994,-43,20,1013,179,20407
1784281955.4862084,651681.1699999995,-43,-10,1014,179,20437
1784281955.7104557,651694.0699999994,-43,-10,1014,179,20437
1784281955.925449,651694.0699999994,-43,-10,1014,179,20437
1784281956.1744287,651694.0699999994,-43,-10,1014,179,20437
1784281956.4017887,651695.0699999994,-43,20,1015,179,20467
1784281956.6253088,651695.0699999994,-43,20,1015,179,20467
1784281956.8338828,651695.0699999994,-43,20,1015,179,20467
1784281957.0442178,651695.0699999994,-43,20,1015,179,20467
1784281957.288126,651697.0699999994,-43,-10,1016,179,20497
1784281957.4999225,651697.0699999994,-43,-10,1016,179,20497
1784281957.699969,651698.0699999994,-43,-4,1017,179,20503
1784281958.0068626,651698.0699999994,-43,-4,1017,179,20503
1784281958.2364259,651698.0699999994,-43,-4,1017,179,20503
1784281958.4949093,651698.0699999994,-43,-4,1017,179,20503
1784281958.7263937,651698.0699999994,-43,-4,1017,179,20503
1784281958.9390287,651698.0699999994,-43,-4,1017,179,20503
1784281959.1728008,651698.0699999994,-43,-4,1017,179,20503
1784281959.3949854,651698.0699999994,-43,-4,1017,179,20503
1784281959.6143184,651698.0699999994,-43,-4,1017,179,20503
1784281959.854952,651697.6699999993,-43,-4,1017,179,20503
