timestamp,pnl,cash,posA,posB
1782940127.159373,5421.401999999967,5421.401999999967,0,0
1782940132.1594086,5421.401999999967,5421.401999999967,0,0
1782940137.1594758,5421.401999999967,5421.401999999967,0,0
1782940142.1595566,5421.401999999967,5421.401999999967,0,0
1782940147.1596215,5421.401999999967,5421.701999999967,-3,3
1782940152.1596286,5417.101999999967,5427.501999999968,-26,26
1782940157.159673,5409.301999999968,5427.501999999968,-26,26
1782940162.1597376,5417.101999999968,5427.501999999968,-26,26
1782940167.159837,5423.101999999967,5426.7019999999675,-18,18
1782940172.1598902,5425.901999999969,5425.901999999969,0,0
1782940177.159926,5426.501999999968,5426.501999999968,0,0
1782940182.1599503,5426.501999999968,5426.501999999968,0,0
1782940187.1600142,5426.501999999968,5426.501999999968,0,0
1782940192.1600974,5427.101999999968,5426.801999999969,-3,3
1782940197.1601005,5427.101999999966,5429.901999999967,-14,14
1782940202.1601856,5425.7019999999675,5429.901999999967,-14,14
1782940207.1602936,5428.301999999967,5433.501999999967,-26,26
1782940212.1603668,5419.4019999999655,5437.901999999966,-37,37
1782940217.1603856,5423.9019999999655,5438.701999999965,-37,37
1782940222.1604006,5433.101999999964,5433.101999999964,-14,14
1782940227.1604693,5435.901999999964,5433.101999999964,-14,14
1782940232.1605055,5431.701999999964,5432.001999999964,-3,3
1782940237.1605697,5430.801999999964,5432.001999999964,-3,3
1782940242.1606534,5431.101999999964,5432.001999999964,-3,3
1782940247.1607287,5432.301999999964,5432.001999999964,-3,3
1782940252.1608207,5430.801999999964,5432.001999999964,-3,3
1782940257.160905,5434.201999999964,5434.201999999965,-14,14
1782940262.1609435,5422.201999999963,5437.801999999963,-26,26
1782940267.1610253,5427.401999999964,5442.201999999964,-37,37
1782940272.1610997,5404.1019999999635,5448.201999999964,-49,49
1782940277.1611214,5426.701999999962,5462.701999999963,-60,60
1782940282.1611998,5406.501999999964,5470.401999999964,-71,71
1782940287.1612356,5425.301999999965,5491.101999999964,-94,94
1782940292.1613238,5425.301999999965,5491.101999999964,-94,94
1782940297.1613479,5415.901999999963,5482.301999999963,-83,83
1782940302.161359,5448.301999999964,5463.001999999964,-49,49
1782940307.1614027,5452.001999999964,5454.801999999965,-14,14
1782940312.1614873,5451.701999999966,5462.801999999966,-37,37
1782940317.1615818,5451.701999999966,5462.801999999966,-37,37
1782940322.16168,5459.101999999966,5462.801999999966,-37,37
1782940327.1617374,5448.001999999966,5462.801999999966,-37,37
1782940332.1617687,5451.701999999967,5462.801999999966,-37,37
1782940337.1618667,5451.701999999965,5459.501999999966,-26,26
1782940342.1618876,5449.201999999967,5459.601999999966,-26,26
1782940347.161906,5440.901999999967,5468.501999999967,-46,46
1782940352.1620016,5460.201999999967,5470.001999999967,-49,49
1782940357.1620667,5450.101999999966,5463.101999999966,-26,26
1782940362.1621192,5460.501999999966,5467.901999999966,-37,37
1782940367.1621814,5460.501999999966,5463.301999999967,-14,14
1782940372.1622431,5461.301999999967,5469.101999999966,-26,26
1782940377.1623337,5453.501999999966,5469.101999999966,-26,26
1782940382.162353,5461.301999999966,5469.101999999966,-26,26
1782940387.1623785,5459.901999999968,5474.701999999968,-37,37
1782940392.1623998,5468.701999999968,5469.001999999969,-3,3
1782940397.162482,5469.901999999969,5469.001999999969,-3,3
1782940402.1625307,5469.0019999999695,5469.0019999999695,0,0
1782940407.162543,5473.20199999997,5474.60199999997,14,-14
1782940412.1625578,5471.601999999969,5471.601999999969,0,0
1782940417.1626058,5474.10199999997,5496.30199999997,37,-37
1782940422.1626773,5484.701999999969,5486.5019999999695,3,-3
1782940427.162716,5485.901999999969,5485.901999999969,0,0
1782940432.1627898,5479.30199999997,5497.5019999999695,26,-26
1782940437.1627927,5481.901999999969,5504.101999999969,37,-37
1782940442.1628013,5474.501999999969,5504.101999999969,37,-37
1782940447.1628454,5485.601999999968,5503.101999999969,35,-35
1782940452.1628485,5485.601999999968,5503.101999999969,35,-35
1782940457.162933,5496.101999999969,5503.101999999969,35,-35
1782940462.1629858,5493.401999999968,5493.401999999968,0,0
1782940467.1630676,5493.401999999968,5493.401999999968,0,0
1782940472.1631074,5493.401999999968,5493.401999999968,0,0
