timestamp,buy_venue,sell_venue,gap,units,reducing
1786138741.5206947,BASKET,OB5X_202703_F,0.1849,4,0
1786138753.716746,OB5X_202703_F,BASKET,0.078,4,1
1786138793.0891285,BASKET,OB5X_202706_F,0.6721,4,0
1786138798.9164555,OB5X_202612_F,BASKET,0.1744,4,1
1786138803.373226,BASKET,OB5X_202612_F,0.2189,4,0
1786138815.7480562,OB5X_202706_F,OB5X_ETF,0.3971,48,1
1786138823.7883127,OB5X_ETF,OB5X_202706_F,0.1959,48,1
1786138888.6465347,OB5X_202612_F,BASKET,0.1567,4,1
1786138922.0831656,BASKET,OB5X_202612_F,0.1959,4,0
1786138922.6038966,OB5X_202706_F,BASKET,0.1435,4,1
1786139016.3052056,BASKET,OB5X_202706_F,0.7888,4,0
1786139023.5551198,OB5X_202706_F,BASKET,0.0396,4,1
1786139037.4815001,BASKET,OB5X_202612_F,0.3185,4,0
1786139089.7789237,OB5X_202706_F,OB5X_ETF,0.0565,48,1
1786139105.6033742,OB5X_202612_F,BASKET,0.0298,4,1
1786139110.900919,BASKET,OB5X_202706_F,0.3081,4,0
1786139114.7007027,OB5X_202612_F,BASKET,0.0247,4,1
1786139135.842206,OB5X_ETF,OB5X_202706_F,0.2595,48,1
1786139139.0110629,OB5X_202612_F,OB5X_ETF,0.0676,48,1
1786139142.170178,OB5X_ETF,OB5X_202612_F,0.2319,48,1
1786139145.3388038,OB5X_202703_F,OB5X_ETF,0.1914,48,1
1786139148.5024745,OB5X_ETF,OB5X_202703_F,0.3093,48,1
1786139189.7130692,OB5X_202703_F,OB5X_ETF,0.6648,48,1
1786139191.1937437,OB5X_ETF,OB5X_202703_F,0.1233,46,1
1786139191.4513762,OB5X_ETF,OB5X_202703_F,0.1231,1,0
1786139193.4661179,OB5X_ETF,OB5X_202706_F,0.1737,1,0
1786139194.9220119,BASKET,OB5X_202706_F,0.3912,4,0
1786139197.4661503,OB5X_202703_F,OB5X_ETF,0.1707,48,1
1786139200.199488,OB5X_202612_F,BASKET,0.0447,4,1
1786139205.5080805,BASKET,OB5X_202706_F,0.1331,4,0
1786139211.9025774,OB5X_ETF,OB5X_202703_F,0.1326,48,1
1786139233.5639174,OB5X_202706_F,OB5X_ETF,0.2272,48,1
1786139234.1136982,OB5X_202612_F,BASKET,0.1293,4,1
1786139237.0113482,OB5X_ETF,OB5X_202706_F,0.1663,48,1
1786139240.4593303,OB5X_202703_F,OB5X_ETF,0.181,48,1
1786139247.4300563,BASKET,OB5X_202703_F,0.4206,4,0
1786139250.0522807,OB5X_ETF,BASKET,0.2484,4,1
1786139251.016751,OB5X_ETF,OB5X_202706_F,0.1646,44,0
1786139255.3577106,BASKET,OB5X_202703_F,0.4215,4,0
1786139256.2741063,BASKET,OB5X_202706_F,0.1961,4,0
1786139260.2196805,OB5X_202706_F,BASKET,0.1241,8,1
1786139260.277166,OB5X_202612_F,BASKET,0.145,1,0
1786139305.091919,BASKET,OB5X_202706_F,0.1021,9,0
1786139349.9175713,OB5X_202706_F,BASKET,0.0202,8,1
1786139350.1787858,OB5X_202706_F,BASKET,0.007,1,1
1786139354.1768525,BASKET,OB5X_202612_F,0.3358,9,0
1786139395.6100063,OB5X_202612_F,BASKET,0.3425,8,1
1786139395.7164943,OB5X_202706_F,OB5X_ETF,0.2451,48,1
1786139395.87937,OB5X_202706_F,BASKET,0.0562,1,1
1786139396.610884,BASKET,OB5X_202612_F,0.1704,9,0
1786139396.9893343,OB5X_ETF,OB5X_202706_F,0.5377,44,0
1786139397.3985431,FLATTEN,OB5X_202703_F,44.46,44,0
1786139397.5079618,OB5X_202703_F,BASKET,0.0086,8,1
