timestamp,pnl,pnl_arb,pnl_opt,pnl_hedge,delta,gamma,band_eff,u_etf,u_basket,u_f612,u_f703,u_f706,hedge_pos,fills,arbs,lots,n_quotes,quoted_vol
1786151726.3849778,3756102.538999998,4011,575,-124,-4.62,0.5232,7.33,-23.75,17.68,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151726.8859384,3756130.7389999977,4013,580,-129,-4.57,0.5217,7.34,-23.75,17.61,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151727.3873234,3756123.0389999985,4028,580,-129,-4.57,0.5217,7.34,-23.75,17.61,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151727.9010103,3756123.1389999986,4035,580,-129,-4.57,0.5217,7.34,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151728.4054942,3756130.6389999986,4034,575,-124,-4.62,0.5232,7.33,-23.75,17.66,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151728.9218311,3756126.7389999987,4044,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151729.4256608,3756145.938999998,4067,570,-118,-4.67,0.5246,7.32,-23.75,17.84,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151729.9396932,3756189.1389999986,4058,570,-118,-4.67,0.5246,7.32,-23.75,17.79,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151730.4442751,3756180.238999998,4053,570,-118,-4.67,0.5246,7.32,-23.75,17.77,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151730.9610953,3756199.238999998,4046,570,-118,-4.67,0.5246,7.32,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151731.468221,3756185.138999998,4032,570,-118,-4.67,0.5246,7.32,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151731.9814968,3756185.9389999984,4028,575,-124,-4.62,0.5232,7.33,-23.75,17.68,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151732.482892,3756200.9389999984,4028,575,-124,-4.62,0.5232,7.33,-23.75,17.68,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
